name,bio
Demetrius,"Demetrius is a villager who resides at 24 Mountain Road, on The Mountain, with his wife Robin, daughter Maru, and step-son Sebastian. Demetrius is a scientist who studies the valley's local wildlife. He can often be found working in his laboratory or outdoors taking notes. After the Beach Resort on Ginger Island is unlocked, Demetrius may randomly spend the day there. After leaving the Island at 6pm, Demetrius will immediately go home to bed. Demetrius never visits the Resort on Festival days or his checkup day at Harvey's Clinic. Demetrius is married to Robin and lives with his daughter Maru and step-son Sebastian. Maru is his daughter with Robin, and Sebastian is Robin's son from an earlier relationship. It is assumed that Demetrius is Robin's second husband, because there are 2 books in the bookcase of their room titled ""Maximizing Your Second Marriage"" and ""Practical Tips For First-Time Step-Dads."" Demetrius is very protective of Maru, as shown in her two heart event."
Dwarf,"The Dwarf is a valley resident who lives in The Mines. Initially the way is blocked off by an unbreakable rock, just inside the entrance. After upgrading to at least a steel pickaxe, the stone can be broken. A cherry bomb (or stronger bomb) will also break the rock. The Dwarf will start out speaking Dwarvish, which is unreadable by the player. To understand Dwarvish the 4 Dwarvish scrolls must be acquired from within the mines. After donating them to the museum, Gunther will reward the player with the Dwarvish Translation Guide to use which allows for understanding the Dwarf's speech. Purchases from the Dwarf's shop cannot be made and friendship cannot be affected with the Dwarf until Dwarvish is understood. The Dwarf lives just to the east of the entrance to the mines and does not move from there. Due to a 1000-year war between the Dwarves and the shadow people, Dwarf is sometimes suspicious of the player, believing they may be a spy sent by the shadow people. The Dwarf appears to have some respect for the wizard, as seen in their heart event. The Dwarf harbors dislike for Krobus, on account of the aforementioned war between their people, the outcome of which caused the dwarf race to disappear, leaving behind only relics (found as artifacts)"
Evelyn,"Evelyn Mullner is a villager who lives in Pelican Town, and is in charge of the town's flowers. She can usually be found in her home's kitchen or tending to the gardens in the center of town. On the 2nd of every season, she has an appointment at the clinic, and on the 23rd of every season she accompanies George to his appointment. Evelyn never visits the Beach Resort on Ginger Island. Evelyn is married to George, and lives with her grandson Alex. Alex's deceased mother Clara was Evelyn's daughter. This is possibly a note from Evelyn's daughter, Clara, who is the mother of Alex. Clara passed away and left Alex to live with Evelyn and George. In the beginning of Stardew Valley, when meeting all the townspeople, Evelyn will give you permission to call her ""Granny""."
George,"George Mullner is a villager who lives in Pelican Town. The 23rd of every season, George has an appointment at Harvey's Clinic, accompanied by Evelyn. George never visits the Beach Resort on Ginger Island. George is married to Evelyn and lives with his grandson, Alex. Alex's deceased mother Clara was his daughter."
Gus,"Gus is a villager who lives and works at The Stardrop Saloon in Pelican Town. He owns the establishment. After the Beach Resort on Ginger Island is unlocked, Gus may randomly spend the day there. (He will leave a cash box on the bar, so the player is still able to make purchases.) After leaving the Island at 6pm, Gus will tend bar until 12:30am, when he goes to bed. Gus never visits the Resort on Festival days or his checkup day at Harvey's Clinic. Gus employs Emily part-time to help at the saloon. Pam is also a frequent customer, and can often be seen chatting with Gus."
Jas,"Jas is a villager who lives just outside Pelican Town. She's a young girl, and can often be found with her best friend Vincent. After the Beach Resort on Ginger Island is unlocked, Jas may randomly spend the day there. After leaving the Island at 6pm, Jas will immediately go home to bed. Jas never visits the Resort on Festival days or her checkup day at Harvey's Clinic. Jas also never visits the Resort without an adult accompanying her. Jas lives with her aunt Marnie and her godfather Shane on her ranch outside town. She's often seen alongside her friend Vincent, who is the only resident of town close to her age. Penny takes time to teach both Vincent and Jas at the museum since there's no school nearby. Jas' parents both died by unknown causes."
Jodi,"Jodi is a villager who lives in Pelican Town. She lives at 1 Willow Lane with her husband Kent (who is away serving in the military until the first of Spring Year 2) and two sons, Sam and Vincent. After the Beach Resort on Ginger Island is unlocked, Jodi may randomly spend the day there. After leaving the Island at 6pm, Jodi will immediately go home to bed. Jodi never visits the Resort on Festival days or her checkup day at Harvey's Clinic. She also won't visit the Resort on Vincent's checkup day. Jodi is married to Kent and together they have two sons, Sam and Vincent. Jodi will mention that Caroline is her best friend and that she is able to tell her anything. They also attend exercise classes along with some of the other Pelican Town ladies."
Kent,"Kent is a villager who lives in Pelican Town. He is away serving in the army throughout the first year and returns to live in the town during spring of year two. Year one references to him include the contents of the drawer in Jodi's bedroom and dialogue from Sam and Vincent. After the Beach Resort on Ginger Island is unlocked, Kent may randomly spend the day there. After leaving the Island at 6pm, Kent will immediately go home to bed. Kent never visits the Resort on Festival days. Kent is married to Jodi and together they have two sons, Sam and Vincent."
Krobus,"Krobus is the only friendly monster players will encounter, however he still refers to other hostile monsters as his friends. He is a shadow person who lives in the sewers. He sells a variety of rare goods. He is also available as a roommate. Krobus can always be found in the sewers once the player obtains the Rusty Key."
Leo,"Leo is a boy who initially lives on Ginger Island. His parents were lost at sea, and he considers the parrots who inhabit the island to be his family. Initially, he is too shy to speak to the player, until the player ""makes friends"" with the parrots of the island by giving them Golden Walnuts. This is done by giving 10 Golden Walnuts to the first parrot outside by the turtle. On Ginger Island, Leo is friends with the parrots whom he considers his family. After Leo moves to Stardew Valley, he bonds with Linus and begins attending Penny's lessons with Vincent and Jas. He also has a crush on Jas, based on one of his quotes."
Lewis,"Lewis is the mayor of Pelican Town. Along with Robin, he greets you when you move to the Valley and explains a little bit about life on the farm. Lewis is known to have some sort of relations with Marnie, as the shorts he lost and brown suspenders are found in her bedroom. Furthermore, a note can be found in his bedroom in the lower left on a shelf under a coffee mug, believed to be from Marnie. The note is signed ""-M"". When a festival takes place, you will receive a letter in your mail box, usually from Lewis, that tells you where and when it takes place, as well as any additional requirements. After the Beach Resort on Ginger Island is unlocked, Lewis may randomly spend the day there. After leaving the Island at 6pm, Lewis will immediately go home to bed. Lewis never visits the Resort on Festival days or his checkup day at Harvey's Clinic. As nobody has challenged Lewis for his title of mayor in the twenty years he has held the position, we can assume he has a good relationship with everyone living in Pelican Town. He was apparently good friends with the player's grandfather; if the player speaks to him while he is at The Stardrop Saloon, Lewis states that he will be having an extra drink in your grandfather's honor. In parallel with his work as mayor, he is also involved in the Stardew Valley Agricultural Fund. He may send the player a letter that includes money from the fund, ""to help you continue your good work,"" such as using it to buy seeds. He has never been married and has no family; all he lives for is being mayor. He sometimes questions if it was worth it. Lewis is particularly good friends with Marnie, as shown in the ""Mayor's Shorts"" story quest. He can also sometimes be found inside Marnie's Ranch saying, ""I'm just here to make sure all of Marnie's business needs are met."" Additionally, his and Marnie's 6-heart event confirms that they're in a relationship, although he doesn't want the relationship to become public knowledge."
Linus,"Linus is a villager who lives in a small tent north of Pelican Town near The Mines. Linus never visits the Beach Resort on Ginger Island. Linus generally considers himself an outcast of the town. He does not trust people and doesn't seem to consider anyone in town his friend due to the fact that most people don't treat him well. However, based on dialogue found in data files, Linus is friends with the Wizard, who is seen standing next to Linus during the Spirit's Eve Festival. This exception may be because Linus does not consider the Wizard to be part of the townsfolk. During Festivals, he can usually be found alone and out of the way. At one point, Linus tells the player that his tent has been destroyed before. Robin mentions that she doesn't mind him living behind their house as long as he doesn't bother them. In Winter, Penny asks the player if they know Linus, and expresses sympathy for the fact that ""everyone ignores him"". Emily also expresses sympathy for Linus on Tuesdays in Summer, saying ""I wish everyone could learn to be accepting of others."""
Marnie,"Marnie is a villager who lives at Marnie's Ranch in the northeast area of Cindersap Forest, near the southwest entrance to Pelican Town. Marnie runs her own shop at Marnie's Ranch from 9:00 AM to 4:00 PM each day, except Monday and Tuesday, although the building is still open on these days. She sells animals and animal supplies. After the Beach Resort on Ginger Island is unlocked, Marnie may randomly spend Monday and/or Tuesday there. After leaving the Island at 6pm, Marnie will immediately go home to bed. Marnie never visits the Resort on Festival days or her checkup day at Harvey's Clinic. Marnie lives with her niece, Jas, and her nephew, Shane. When it is not raining, she exercises with Caroline, Jodi, Emily, and Robin on Tuesdays at Pierre's General Store. Mayor Lewis and Marnie have a very close relationship. Although Marnie claims to be single during the Flower Dance, Lewis and Marnie's 6-heart event confirms that they are dating. Lewis visits Marnie's Ranch to attend to her ""business needs"" on occasion, and the two can often be found drinking together at the Stardrop Saloon in the evening. In one of the story quests, Lewis asks you to find his lucky purple shorts, which can be found in Marnie's bedroom."
Pam,"Pam is a villager who lives in the trailer just west of the river in Pelican Town. She was the driver of the Pelican Town bus before it broke down. Once the bus service has been restored, Pam will manage the bus stop just east of the farm, opening the way to the The Desert. While the bus service is not active, Pam can usually be found in her home until 12:00pm. She'll then walk over to JojaMart for a few hours, leaving there at 4:00pm to walk to The Stardrop Saloon. Pam is one of Gus' most loyal customers. She spends every evening in his establishment. Pam has her doctor's appointment on Spring 25, and thus the bus service will not be active on that day. If the beach resort on Ginger Island is unlocked, she may visit it on some days, causing the bus service to be inactive. This can be avoided by closing the resort to visitors. After the Beach Resort on Ginger Island is unlocked, Pam may randomly spend the day there. After leaving the Island at 6pm, Pam will immediately go home to bed. Pam never visits the Resort on Fall 15, Festival days, or her checkup day at Harvey's Clinic. Pam lives with her daughter Penny. She spends every evening socializing at The Stardrop Saloon."
Pierre,"Pierre is a villager who lives in Pelican Town. He owns and runs Pierre's General Store. Pierre can be found running his general store each day between 9am and 5pm (except Wednesday when the store is closed). After the Community Center has been fully restored his store will be open every day of the week. After the Beach Resort on Ginger Island is unlocked, Pierre may randomly spend the day there. (He will leave a cash box on the counter of the store, so the player is still able to make purchases.) After leaving the Island at 6pm, Pierre will immediately go home to bed. Pierre never visits the Resort on Festival days. Pierre lives with his wife Caroline and their daughter Abigail behind his shop. On Friday evenings he socializes with other villagers at the saloon, but outside that he only interacts with others at his store. He feels threatened by JojaMart and Morris' attempts to draw his customers away from the store, and worries that he won't be able to make as much money because of this. He has a strained relationship with Abigail due to their different beliefs, as shown in a few cutscenes."
Robin,"Robin is a villager who resides at 24 Mountain Road, on The Mountain, with her husband Demetrius, daughter Maru, and son Sebastian. Robin is the town carpenter and runs her own Carpenter's Shop, at her home, from 9am to 5pm every day except Tuesday and part of Friday (closes early). Robin's shop is closed on Tuesday while she has a weekly exercise class at Caroline's home. However, if you stand in her path on her way out (near the cash register at 9:40am), you can use her shop momentarily. The shop can also be used as she returns at 7:50pm. Robin won't leave her home on days when it's raining unless she has been hired to construct a farm building. Her shop will be closed for the days that she is on the Farm completing the construction. After the Beach Resort on Ginger Island is unlocked, Robin may randomly spend Tuesday there. After leaving the Island at 6pm, Robin will immediately go home to bed. Robin never visits the Resort on Festival days. Robin is married to Demetrius and lives with her daughter Maru and son Sebastian. Maru is her daughter with Demetrius, and Sebastian is from an earlier relationship. It is assumed that Demetrius is Robin's second husband because there are 2 books in the bookcase of their room titled ""Maximizing Your Second Marriage"" and ""Practical Tips For First-Time Step-Dads."" Robin attends exercise classes on Tuesday with Jodi, Caroline, Emily and Marnie."
Sandy,"Sandy is a villager who lives in the Calico Desert where she runs the store, the Oasis. Players won't meet her until they've repaired the bus by completing the vault bundle or purchasing ""Bus"" for 40,000g through the Joja Community Development Form. Sandy does not leave the Oasis, and can be found there when the store is open, from 9am to 11:50pm except on her birthday, Fall 15. On Fall 15, the Oasis is open in the morning but at 1pm Sandy leaves to walk around the desert with Emily. Sandy never visits the Beach Resort on Ginger Island. Sandy allows Mr. Qi to operate his casino behind her shop. It's clear they're not close, but she accepts his money and ""looks the other way"" with whatever he's doing back there. She mentions that she's friends with Emily; during the first meeting with the player she mentions that Emily wrote to her about ""the new farmer"" in town. She also mentions that ""my friend runs a shop in the desert"", referring to the Desert Trader."
Vincent,"Vincent is a villager who lives in the southern part of Pelican Town. He's a young boy, and can often be found with his best friend Jas. He looks up to his brother Sam and wants to be just like him when he grows up. On Tuesday, Wednesday, and Friday in Spring, Fall, and Winter, Vincent and Jas spend the afternoon with Penny being tutored at the museum. During Summer, Vincent is often at the beach. Vincent won't leave his home on days when it's raining, unless it's Spring 11, when he visits Harvey's Clinic. After the Beach Resort on Ginger Island is unlocked, Vincent may randomly spend the day there. After leaving the Island at 6pm, Vincent will immediately go home to bed. Vincent never visits the Resort on Festival days or his checkup day at Harvey's Clinic. Vincent also never visits the Resort without an adult accompanying him. Vincent lives with his mother Jodi and his brother Sam. His father Kent is away at war in Year 1, but returns and lives with the family when he returns in Year 2. He's often seen alongside his friend Jas, who is the only resident of town close to his age. Penny takes time to teach both Vincent and Jas at the museum since there's no school nearby. It is implied that Vincent cares about Penny a lot, specifically in a dialogue where he claims he'll marry her one day."
Willy,"Willy is a villager who grew up traveling among the Fern Islands and now lives south of Pelican Town on The Beach. He sells bait and fishing supplies in his shop. His shop is open every day but will be closed on Saturday if the weather is nice enough for him to go fishing. Most days Willy fishes at the beach for a few hours before operating his fish shop between 9am and 5pm. During winter he'll go to the saloon after work. Willy's shop is closed on Saturday while he's out fishing unless it's raining. Willy never visits the Beach Resort on Ginger Island, though he ferries other villagers to and from the Island. Willy spends most of his time fishing just outside his shop when not operating the sale counters at his shop. He's often seen at the saloon in the evenings, especially during the winter, when he sits with Clint. He lives close to Elliott; the two of them are the only residents of the beach. He is also friends with Elliott."
Wizard,"The Wizard, also known as M. Rasmodius, is a villager who lives in the Wizard's Tower to the far west of Cindersap Forest. The Wizard does not leave the Wizard's Tower (except for certain Festival days), and can be found there when the tower is accessible (6am to 11pm). After the player has unlocked the Witch's Hut, he can be found in his tower after 11pm by using the warp spot in the Witch's Hut. The Wizard never visits the Beach Resort on Ginger Island."
